Year,Central and Eastern Europe,Commonwealth of Independent States,East Asia,Latin America and Caribbean,Middle East and North Africa,North America and ANZ,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe
2005,5.276597023,6.515817165,6.795683384,5.8682988166,7.3793683055,5.224657536,7.0830898284
2006,5.422188186600001,4.8347706360909095,5.39822757275,5.576129754444445,6.159072518,7.2434039115,4.644593358,5.239425778375,4.074250329590909,6.881718397125
2007,5.056003349428572,4.8871736765,5.369348764250001,5.802009077647059,5.843313535,7.471001148,4.8937332154,5.496604978875,4.392296025631579,7.020117070777777
2008,5.41822469225,5.125530676363637,5.2207588355,5.750263891736842,5.421159267428571,7.35022950175,4.534498850333333,5.309534073,4.25440743452,7.165480423
2009,5.180072648285715,5.07079537725,5.33602643,6.366542074388889,5.775860916454546,7.3229284285,4.723864793833333,5.2531694002857146,4.321347851421053,6.772409255692308
2010,5.102883952071429,4.930266293636364,5.547067165333334,6.17966759831579,5.627873714076923,7.371941447,4.786475459833333,5.452007497857143,4.189672178777778,6.756547703470588
2011,5.210779935125,5.0902786255,5.843449989833332,6.0457336188,5.419439298714286,7.28436160075,4.4515732925,5.476237833625,4.417089528034483,6.7788302758235295
2012,5.321611762125,5.23564573125,5.593542099,6.089594840947368,5.3335464478,7.22164678575,4.4694885415,5.1665698885,4.25815250396,6.7938446284
2013,5.2954644561875,5.293664654083334,5.6825068474,6.1590315342,5.5223224346153845,7.37185001375,4.461233893833334,5.209553867625,4.013812863,6.681948608777778
2014,5.3979580999375,5.3342439334166665,5.594324588666667,6.065303671400001,5.563490244153845,7.2624537945,4.4782408875,5.584393918375,4.043510834266667,6.671539959157895
2015,5.408922016625,5.254741907166667,5.679316330000001,5.940901091263158,5.401570779928571,7.25097525125,4.5342743001666665,5.39950305225,4.183244844931035,6.73281049735
2016,5.567118048625,5.165872494333333,5.7197403905,5.896981214157894,5.416839742733333,7.13105344775,4.7207069398,5.260132176428571,4.1748381852,6.813916182450001
2017,5.7104454636875,5.304230411833333,5.656566858166666,5.99267653225,5.3095142364,7.24771201625,4.3193514745,5.193576038,4.427675868484849,6.8919604778500005
2018,5.858077019375,5.300795634666667,5.739373684,5.951090772888889,5.084300536461539,7.151365161,4.432261126285715,5.402425766111112,4.543266548852941,6.965981458473685
2019,5.8851609825625,5.530862927333334,5.785714705833333,6.117599713210526,5.375905786285714,7.1229867935,4.140469988166667,5.504394743222222,4.499658865147059,7.0147254467
2020,6.069687605,5.666615069,5.9565829435,5.6754920781875,5.183925251083333,7.1119356155,4.9777441978,5.17019468525,4.76324032545,6.919508808473685
2021,6.1897367478,5.580663681000001,5.892710606166666,5.942394706888889,5.072166421272727,7.0367057325,3.888364752,5.441043271,4.485699767652173,6.921245825947369
2022,6.052778124833334,5.59164720775,6.13075029875,6.196846685894737,5.038573927555556,6.90510201425,3.52319887275,5.52714812725,4.328292661185185,6.8115947962
